iter	Logloss
0	0.6835917067
1	0.6739137168
2	0.6653775058
3	0.655723345
4	0.6482885673
5	0.6388792428
6	0.6308696703
7	0.622516478
8	0.6152683662
9	0.6090540873
10	0.6038095579
11	0.5957165626
12	0.5881897463
13	0.5837583146
14	0.5777571063
15	0.5717396641
16	0.5661217436
17	0.5605587164
18	0.5546905411
19	0.5493983315
20	0.5448076498
21	0.539750696
22	0.5338054688
23	0.528746896
24	0.5239961782
25	0.5195867038
26	0.5134958708
27	0.5078035552
28	0.5033071462
29	0.4984587497
30	0.4941453578
31	0.4902710177
32	0.486565578
33	0.482039272
34	0.4776497689
35	0.4731858549
36	0.4707125764
37	0.4665789207
38	0.4625531475
39	0.4598998831
40	0.4564598788
41	0.4536396406
42	0.4500097403
43	0.4457398797
44	0.4429484257
45	0.4404049531
46	0.4368795272
47	0.433677702
48	0.4306971579
49	0.4269508047
50	0.4237085648
51	0.4208329438
52	0.4175365491
53	0.414358266
54	0.4110163038
55	0.4085849728
56	0.4065532614
57	0.4033582114
58	0.4007218803
59	0.3986630695
60	0.3964912165
61	0.3941841447
62	0.3910156063
63	0.3893476822
64	0.3876191302
65	0.3859955498
66	0.3837009614
67	0.3816972955
68	0.379788986
69	0.3775466836
70	0.3755710742
71	0.3742020217
72	0.3708317635
73	0.3691741336
74	0.3673206488
75	0.3644035965
76	0.3617988757
77	0.3600472114
78	0.3574124025
79	0.3549914795
80	0.353046783
81	0.3506107493
82	0.3493883515
83	0.347589678
84	0.3455782964
85	0.3424018199
86	0.3405514101
87	0.3384864227
88	0.3370314381
89	0.3357607801
90	0.3339874266
91	0.3329627542
92	0.331424365
93	0.3294224121
94	0.3278154294
95	0.3262485966
96	0.324378967
97	0.3230141976
98	0.3211182815
99	0.3191503341
100	0.3175287407
101	0.3160042787
102	0.31444705
103	0.3136234696
104	0.312254981
105	0.3113776084
106	0.3101399193
107	0.3086295479
108	0.3069152923
109	0.3055435847
110	0.3042335165
111	0.3030210193
112	0.3015627976
113	0.3008160227
114	0.2993463278
115	0.2977694069
116	0.2966572386
117	0.2952307808
118	0.293970876
119	0.2928931473
120	0.2920980906
121	0.2904619703
122	0.2891079278
123	0.2876670124
124	0.286482174
125	0.285250942
126	0.2835628833
127	0.2824155316
128	0.2810078069
129	0.2793530901
130	0.2779284211
131	0.276967611
132	0.2756469118
133	0.2742350363
134	0.2731840515
135	0.272298526
136	0.2705390373
137	0.2694419296
138	0.2683034934
139	0.2676266521
140	0.2657106269
141	0.264751164
142	0.2636071343
143	0.2622135762
144	0.2613498788
145	0.2603058527
146	0.2593706105
147	0.2587920378
148	0.2579763054
149	0.2571046534
150	0.2562869342
151	0.2552555159
152	0.2536662155
153	0.253109159
154	0.2522835346
155	0.2509980462
156	0.2497790682
157	0.2487747535
158	0.247441606
159	0.2464358953
160	0.2451511479
161	0.2445367045
162	0.2436442559
163	0.2427776753
164	0.2416740591
165	0.2407805669
166	0.2398713268
167	0.2393920554
168	0.2390366964
169	0.2381503655
170	0.236926761
171	0.2358312066
172	0.2351580123
173	0.2341791876
174	0.2330539445
175	0.2322470179
176	0.2312582056
177	0.2303895868
178	0.2297755966
179	0.2291418651
180	0.2283882693
181	0.2274602318
182	0.2263277094
183	0.2255000605
184	0.2247012085
185	0.2238398722
186	0.2230718141
187	0.2222295122
188	0.2215509111
189	0.220868015
190	0.2204510606
191	0.2198303192
192	0.219023873
193	0.2182952835
194	0.217255988
195	0.216359702
196	0.2156865923
197	0.2149127312
198	0.2141835094
199	0.2136732014
200	0.2128919919
201	0.212257379
202	0.2115905061
203	0.210931691
204	0.2104658541
205	0.2096262365
206	0.2088525053
207	0.2084501251
208	0.2078027294
209	0.2070886199
210	0.206543632
211	0.205779536
212	0.2050701498
213	0.2040049702
214	0.2028703318
215	0.2020552875
216	0.2013406123
217	0.2005113589
218	0.199526757
219	0.1989984517
220	0.198075361
221	0.1975335528
222	0.1967046994
223	0.1963316363
224	0.1954240852
225	0.1947692452
226	0.1941623478
227	0.1933842689
228	0.1929019596
229	0.1921815308
230	0.1914382369
231	0.1907121248
232	0.190229291
233	0.1893773747
234	0.1888806158
235	0.1883821009
236	0.1874447933
237	0.1870323151
238	0.1867240046
239	0.1861851896
240	0.1853964332
241	0.1846957056
242	0.1841318583
243	0.1833956729
244	0.1828566663
245	0.1824399497
246	0.1818866888
247	0.1813139654
248	0.1805024185
249	0.1798401332
250	0.179161663
251	0.1786747015
252	0.1782926292
253	0.1777757208
254	0.1769431783
255	0.1763697996
256	0.1756430849
257	0.1746618455
258	0.1743317291
259	0.1736794271
260	0.1730759668
261	0.1723207906
262	0.1715846329
263	0.1710296253
264	0.1705321002
265	0.1699803026
266	0.1690621488
267	0.168584088
268	0.1680957524
269	0.1672816091
270	0.1667759237
271	0.1662996289
272	0.1654982302
273	0.164759964
274	0.1642772825
275	0.1634509538
276	0.1629469806
277	0.1623116345
278	0.1618808833
279	0.1615709636
280	0.160998115
281	0.1606006237
282	0.1599930717
283	0.1594157623
284	0.1589075724
285	0.1583022286
286	0.1577137556
287	0.1571888142
288	0.156382616
289	0.1558688664
290	0.1552488952
291	0.1546463234
292	0.1541378012
293	0.1535991931
294	0.1531810518
295	0.1527268144
296	0.1523063523
297	0.1519869847
298	0.151601774
299	0.1510302938
300	0.1505548426
301	0.1501550378
302	0.1497186914
303	0.1492601998
304	0.1489901398
305	0.1485378141
306	0.1482204389
307	0.1477020742
308	0.1472700955
309	0.1467076048
310	0.146378425
311	0.1459974752
312	0.1455515157
313	0.1449498473
314	0.1445640171
315	0.1441915669
316	0.1438789871
317	0.1433813185
318	0.1430014168
319	0.1425549319
320	0.1422266133
321	0.1419394383
322	0.1414655776
323	0.1411172731
324	0.1408766178
325	0.1404475259
326	0.1402649841
327	0.139738917
328	0.139337377
329	0.1386715422
330	0.1382780416
331	0.1377275018
332	0.1371649778
333	0.1367820712
334	0.1362667024
335	0.1358773904
336	0.1352656414
337	0.1346054338
338	0.1342608951
339	0.1339469207
340	0.1333665712
341	0.1328952824
342	0.1325332273
343	0.1321262319
344	0.1319445163
345	0.1314728626
346	0.1310690731
347	0.1307281629
348	0.1305194322
349	0.1299861789
350	0.1295594134
351	0.1290495545
352	0.1286658262
353	0.1282853022
354	0.1278073493
355	0.127505661
356	0.1273064532
357	0.1268496137
358	0.1266378697
359	0.1263295423
360	0.1259619954
361	0.1255748837
362	0.1252486559
363	0.1248149909
364	0.1243589721
365	0.1239894907
366	0.1235752968
367	0.1231836342
368	0.122810535
369	0.1224332078
370	0.1220017378
371	0.1216021471
372	0.1213038909
373	0.1210885142
374	0.1206696472
375	0.1202875587
376	0.1199738732
377	0.1195157533
378	0.119133232
379	0.1188785864
380	0.1183800968
381	0.1180257814
382	0.1176282483
383	0.1172797954
384	0.1168358129
385	0.1163930946
386	0.1161387549
387	0.1157829471
388	0.1155923281
389	0.1154494347
390	0.1151696939
391	0.1147422401
392	0.1144654167
393	0.1140088982
394	0.1136504932
395	0.1131608374
396	0.1128089757
397	0.1123539715
398	0.112000144
399	0.1115615662
400	0.1114119379
401	0.1110378883
402	0.1106377782
403	0.11027449
404	0.1098501806
405	0.1095246097
406	0.1091966029
407	0.1088018555
408	0.1084383317
409	0.1080854868
410	0.1077595604
411	0.1073832844
412	0.107091458
413	0.1067876646
414	0.1064502632
415	0.105869337
416	0.1055088387
417	0.1051385933
418	0.1046267324
419	0.1042520094
420	0.1038545583
421	0.1035748218
422	0.1034216855
423	0.103232128
424	0.1030860485
425	0.1027445491
426	0.1025078215
427	0.1021185548
428	0.1018364849
429	0.1015219005
430	0.1014242146
431	0.1010954744
432	0.1008436167
433	0.1005279978
434	0.1002472649
435	0.0998774341
436	0.09947684717
437	0.09912620594
438	0.0988439135
439	0.09846660499
440	0.09822480325
441	0.09801107342
442	0.0976754036
443	0.09747237673
444	0.09724012228
445	0.09697250879
446	0.096620717
447	0.09634811519
448	0.09608317701
449	0.09582170368
450	0.09560242796
451	0.09523193681
452	0.09501216357
453	0.09474301377
454	0.09443568716
455	0.09413870709
456	0.09384625155
457	0.09359593701
458	0.09327480153
459	0.09307678741
460	0.09288135127
461	0.0925924326
462	0.09241520942
463	0.09207041284
464	0.09183285237
465	0.09171475972
466	0.09153268063
467	0.09122826242
468	0.09097720006
469	0.09065906775
470	0.09027303536
471	0.09013440686
472	0.08979140717
473	0.08943898955
474	0.08914264501
475	0.08897462145
476	0.08882616483
477	0.08855871948
478	0.08829249848
479	0.08799089325
480	0.08770424709
481	0.08744198224
482	0.0872422661
483	0.08694940379
484	0.08661659752
485	0.086332734
486	0.08604410989
487	0.08582689297
488	0.08571957073
489	0.08540391146
490	0.08523491263
491	0.08495840634
492	0.08466669518
493	0.084432442
494	0.08417157353
495	0.08406463102
496	0.08384937812
497	0.08364116196
498	0.08341999165
499	0.08311342234
500	0.08292900503
501	0.08270042342
502	0.08249020451
503	0.08236193982
504	0.08224668322
505	0.08200023407
506	0.08180847301
507	0.08162986029
508	0.08129469866
509	0.08098819349
510	0.08071050092
511	0.08045035376
512	0.08023169765
513	0.07986716823
514	0.07964529636
515	0.07937486133
516	0.07917866058
517	0.07897839235
518	0.07869692757
519	0.07840733353
520	0.07817727123
521	0.07795806139
522	0.07769725346
523	0.07748876815
524	0.07724789735
525	0.0769700895
526	0.07671948828
527	0.07642729461
528	0.07618520944
529	0.07600729969
530	0.07573976508
531	0.07547387463
532	0.07532481319
533	0.07507949677
534	0.07482840027
535	0.07461106086
536	0.07445182953
537	0.07413789097
538	0.07392267429
539	0.07373005948
540	0.07352122321
541	0.07342170193
542	0.07321549209
543	0.07299911458
544	0.07279564216
545	0.07252594176
546	0.07237056252
547	0.07213192742
548	0.07198155695
549	0.07176704751
550	0.07150463098
551	0.07135292527
552	0.07119564761
553	0.07106224199
554	0.07081288635
555	0.07064233129
556	0.07044449366
557	0.07029124783
558	0.07010793382
559	0.06986442213
560	0.06962512737
561	0.06945207159
562	0.06926543556
563	0.06906374256
564	0.06885676705
565	0.06872462081
566	0.06855125868
567	0.06835951927
568	0.068104058
569	0.06792772505
570	0.06765551313
571	0.06750533078
572	0.06726057101
573	0.06709844244
574	0.06685790557
575	0.06666943703
576	0.06644661345
577	0.06629480107
578	0.06615774956
579	0.06600431215
580	0.0657761159
581	0.06564648883
582	0.06548739692
583	0.06535876525
584	0.06518215925
585	0.06509343418
586	0.06485918731
587	0.06470958656
588	0.06449567718
589	0.06428124232
590	0.06410181202
591	0.06399067573
592	0.06378549962
593	0.06362249342
594	0.06349223278
595	0.06330740806
596	0.06308272887
597	0.06290031364
598	0.06275635575
599	0.06262342163
600	0.06245769475
601	0.06224160852
602	0.06207173011
603	0.0618805333
604	0.06169529998
605	0.06151450564
606	0.06129674891
607	0.06111832753
608	0.06090829617
609	0.06076522254
610	0.06060735397
611	0.06050526596
612	0.06036521528
613	0.06025110574
614	0.06011772406
615	0.05995572363
616	0.05977405154
617	0.05959587647
618	0.05947417753
619	0.05934820199
620	0.05916979318
621	0.05901009802
622	0.05895422863
623	0.05890261754
624	0.05879108843
625	0.05865747581
626	0.05849855311
627	0.05837938763
628	0.05819036911
629	0.05808437966
630	0.05803629084
631	0.05785409527
632	0.05774417884
633	0.05757844522
634	0.05743221178
635	0.05725157583
636	0.05707849772
637	0.05693435864
638	0.056768576
639	0.05665329618
640	0.0564955693
641	0.05640667867
642	0.05621798214
643	0.05605322243
644	0.05591678199
645	0.0557849397
646	0.05563772442
647	0.05552495749
648	0.0553726443
649	0.05523656454
650	0.05510291378
651	0.0549659409
652	0.05486906196
653	0.05469888736
654	0.05455018239
655	0.0544227988
656	0.05425166386
657	0.05411984019
658	0.05403958012
659	0.05389877609
660	0.05378098389
661	0.05366844666
662	0.05351494204
663	0.05341310418
664	0.05333322021
665	0.05317700084
666	0.05307462299
667	0.05291706861
668	0.05274737532
669	0.05261119919
670	0.05254983874
671	0.05240625866
672	0.05230948521
673	0.05215611647
674	0.05206199794
675	0.05194482229
676	0.05190716683
677	0.05174084769
678	0.05163399973
679	0.05148108597
680	0.05134654781
681	0.05122333343
682	0.05106610285
683	0.0509407274
684	0.05085181027
685	0.05069826834
686	0.05052047531
687	0.05036648494
688	0.05020707326
689	0.05016456133
690	0.05004225859
691	0.04994874095
692	0.04984925675
693	0.04970931676
694	0.04959883758
695	0.0494815117
696	0.04936878798
697	0.04928761427
698	0.04914343675
699	0.04905160564
700	0.04894360089
701	0.04885953214
702	0.04871118986
703	0.04858583084
704	0.04850488764
705	0.04835375197
706	0.04823460388
707	0.04814426201
708	0.04806386164
709	0.04792097767
710	0.04783582227
711	0.04775862362
712	0.04761195784
713	0.04749643473
714	0.04740282189
715	0.04730115326
716	0.04717268872
717	0.0470880604
718	0.04693174711
719	0.04684847831
720	0.04672455819
721	0.04662553009
722	0.04653334725
723	0.04644119244
724	0.04634836522
725	0.04624748622
726	0.04610249979
727	0.04599003351
728	0.04585105019
729	0.04574947631
730	0.04563130884
731	0.04551084455
732	0.04540926628
733	0.04528410083
734	0.04521776928
735	0.04510734576
736	0.04501626175
737	0.04486933239
738	0.04473740456
739	0.04466305987
740	0.04457782439
741	0.04447634698
742	0.04441617967
743	0.04430870841
744	0.04422444526
745	0.04411508747
746	0.04401227864
747	0.04392790921
748	0.04385167532
749	0.04374202413
750	0.04361472265
751	0.04357145635
752	0.04347381738
753	0.04337841239
754	0.04327909583
755	0.04316054154
756	0.04307151425
757	0.04297946999
758	0.04286818848
759	0.04278017794
760	0.04271873469
761	0.04264721952
762	0.04253389903
763	0.04238286844
764	0.04227189303
765	0.04215967524
766	0.04207775748
767	0.04200728932
768	0.04186795271
769	0.04179246089
770	0.04171315724
771	0.04163387014
772	0.04154841199
773	0.04146078725
774	0.04137709052
775	0.04126503375
776	0.04116432202
777	0.04109823963
778	0.04101175131
779	0.04090708814
780	0.04079462282
781	0.04068986102
782	0.04059208065
783	0.0404842068
784	0.04040889869
785	0.04033296431
786	0.04022932284
787	0.04014823197
788	0.04011046256
789	0.04003705796
790	0.03992574414
791	0.03984845187
792	0.03975915277
793	0.03965610913
794	0.03960406517
795	0.03950097679
796	0.03941592473
797	0.03931816269
798	0.03926113775
799	0.03918039395
